# 3.9 AVX512 Instructions
# The AVX512 instructions includes the following subsets:
# AVX512BW    Vector Byte and Word Instructions
# AVX512DQ    Doubleword and Quadword Instructions
# AVX512VL    Vector Length Extensions
# AVX512CD    Conflict Detection Instructions
# AVX512ER    Exponential and Reciprocal Instructions
# AVX512IFMA  Integer Fused Multiply-Add Instructions
# AVX512PF    Prefetch Instructions
# AVX512VBMI  Vector Bit Manipulation Instructions
# Table 26  AVX512 Instructions
Intel/AMD Mnemonic		CPUID Feature Flag Description
VPSHUFHW		AVX512BW AVX512VL Shuffle Packed High Words
VPSHUFLW		AVX512BW AVX512VL Shuffle Packed Low Words
VPSLLD		AVX512VL Shift Packed Data Left Logical
VPSLLDQ		AVX512BW AVX512VL Shift Double Quadword Left Logical
VPSLLQ		AVX512VL Shift Packed Data Left Logical
VPSLLVD		AVX512VL Variable Bit Shift Left Logical
VPSLLVQ		AVX512VL Variable Bit Shift Left Logical
VPSLLVW		AVX512VL AVX512BW Variable Bit Shift Left Logical
VPSLLW		AVX512VL AVX512BW Shift Packed Data Left Logical
VPSRAD		AVX512VL Shift Packed Data Right Arithmetic
VPSRAQ		AVX512VL Shift Quadwords to Right
VPSRAVD		AVX512VL Variable Bit Shift Right Arithmetic
VPSRAVQ		AVX512VL Variable Bit Shift Right Arithmetic
VPSRAVW		AVX512VL AVX512BW Variable Bit Shift Right Arithmetic
VPSRAW		AVX512VL AVX512BW Shift Packed Data Right Arithmetic
VPSRLD		AVX512VL Shift Doublewords to Right
VPSRLDQ		AVX512BW AVX512VL Shift Double Quadwords Right Logical
VPSRLQ		AVX512VL Shift Quadwords to Right
VPSRLVD		AVX512VL Variable Bit Shift Right Logical
VPSRLVQ		AVX512VL Variable Bit Shift Right Logical
VPSRLVW		AVX512VL AVX512BW Variable Bit Shift Right Logical
VPSRLW		AVX512VL AVX512BW Shift Packed Data Right Logical
VPSUBB		AVX512VL AVX512BW Subtract Packed Integers
VPSUBD		AVX512VL Subtract Packed Integers
VPSUBQ		AVX512VL Subtract Packed Quadword Integers
VPSUBSB		AVX512BW AVX512VL Subtract Packed Signed Integers with Signed Saturation
VPSUBSW		AVX512BW AVX512VL Subtract Packed Signed Integers with Signed Saturation
VPSUBUSB		AVX512VL AVX512BW Subtract Packed Unsigned Integers with Unsigned Saturation
VPSUBUSW		AVX512VL AVX512BW Subtract Packed Unsigned Integers with Unsigned Saturation
VPSUBW		AVX512VL AVX512BW Subtract Packed Integers
VPTERNLOGD		AVX512VL Bitwise Ternary Logic
VPTERNLOGQ		AVX512VL Bitwise Ternary Logic
VPTESTMB		AVX512VL AVX512BW Logical AND and Set Mask
VPTESTMD		AVX512VL Logical AND and Set Mask
VPTESTMQ		AVX512VL Logical AND and Set Mask
VPTESTMW		AVX512VL AVX512BW Logical AND and Set Mask
VPTESTNMB		AVX512VL AVX512BW Logical NAND and Set
VPTESTNMD		AVX512VL Logical NAND and Set
VPTESTNMQ		AVX512VL Logical NAND and Set
VPTESTNMW		AVX512VL AVX512BW Logical NAND and Set
VPUNPCKHBW		AVX512VL AVX512BW Unpack High Data
VPUNPCKHDQ		AVX512VL Unpack High Data
VPUNPCKHQDQ		AVX512VL Unpack High Data
VPUNPCKHWD		AVX512VL AVX512BW Unpack High Data
VPUNPCKLBW		AVX512VL AVX512BW Unpack Low Data
VPUNPCKLDQ		AVX512VL Unpack Low Data
VPUNPCKLQDQ		AVX512VL Unpack Low Data
VPUNPCKLWD		AVX512VL AVX512BW Unpack Low Data
VPXORD		    AVX512VL Logical Exclusive OR
VPXORQ		    AVX512VL Logical Exclusive OR
VRANGEPD		AVX512DQ AVX512VL Range Restriction Calculation For Packed Pairs of Float64 Values
VRANGEPS		AVX512DQ AVX512VL Range Restriction Calculation For Packed Pairs of Float32 Values
VRANGESD		AVX512DQ Range Restriction Calculation From a pair of Scalar Float64 Values
VRANGESS		AVX512DQ Range Restriction Calculation From a Pair of Scalar Float32 Values
VRCP14PD		AVX512VL Compute Approximate Reciprocals of Packed Float64 Values
VRCP14PS		AVX512VL Compute Approximate Reciprocals of Packed Float32 Values
VRCP28PD		AVX512ER Approximation to the Reciprocal of Packed Double-Precision Floating-Point Values with Less Than 2^-28 Relative Error
VRCP28PS		AVX512ER Approximation to the Reciprocal of Packed Single-Precision Floating-Point Values with Less Than 2^-28 Relative Error
VRCP28SD		AVX512ER Approximation to the Reciprocal of Scalar Double-Precision Floating-Point Value with Less Than 2^-28 Relative Error
VRCP28SS		AVX512ER Approximation to the Reciprocal of Scalar Single-Precision Floating-Point Value with Less Than 2^-28 Relative Error
VREDUCEPD		AVX512DQ AVX512VL Perform Reduction Transformation on Packed Float64 Values
VREDUCEPS		AVX512DQ AVX512VL Perform Reduction Transformation on Packed Float32 Values
VREDUCESS		AVX512DQ Perform a Reduction Transformation on a Scalar Float32 Value
VRNDSCALEPD		AVX512VL Round Packed Float64 Values To Include A Given Number Of Fraction Bits
VRNDSCALEPS		AVX512VL Round Packed Float32 Values To Include A Given Number Of Fraction Bits
VRSQRT14PD		AVX512VL Compute Approximate Reciprocals of Square Roots of Packed Float64 Values
VRSQRT14PS		AVX512VL Compute Approximate Reciprocals of Square Roots of Packed Float32 Values
VSCALEFPD		AVX512VL Scale Packed Float64 Values With Float64 Values
VSCALEFPS		AVX512VL Scale Packed Float32 Values With Float32 Values
VSCATTERDPD		AVX512VL Scatter Double-Precision Floating-Point Values with Signed Dword Indices
VSCATTERDPS		AVX512VL Scatter Single-Precision Floating-Point Values with Signed Dword Indices
VSCATTERPF0DPD		AVX512PF Prefetch Sparse Byte Memory Locations Containing Double-Precision Data With Signed Dword Indices
VSCATTERPF0DPS		AVX512PF Prefetch Sparse Byte Memory Locations Containing Single-Precision Data With Signed Dword Indices
VSCATTERPF0QPD		AVX512PF Prefetch Sparse Byte Memory Locations Containing Double-Precision Data With Signed Qword Indices
VSCATTERPF0QPS		AVX512PF Prefetch Sparse Byte Memory Locations Containing Single-Precision Data With Signed Qword Indices
VSCATTERPF1DPD		AVX512PF Prefetch Sparse Byte Memory Locations Containing Double-Precision Data With Signed Dword Indices
VSCATTERPF1DPS		AVX512PF Prefetch Sparse Byte Memory Locations Containing Single-Precision Data With Signed Dword Indices
VSCATTERPF1QPD		AVX512PF Prefetch Sparse Byte Memory Locations Containing Double-Precision Data With Signed Qword Indices
VSCATTERPF1QPS		AVX512PF Prefetch Sparse Byte Memory Locations Containing Single-Precision Data With Signed Qword Indices
VSCATTERQPD		AVX512VL Scatter Double-Precision Floating-Point Values With Signed Qword Indices
VSCATTERQPS		AVX512VL Scatter Single-Precision Floating-Point Values With Signed Qword Indices
VSHUFF32X4		AVX512VL Shuffle Packed Values at 128-bit Granularity
VSHUFF64X2		AVX512VL Shuffle Packed Values at 128-bit Granularity
VSHUFI32X4		AVX512VL Shuffle Packed Values at 128-bit Granularity
VSHUFI64X2		AVX512VL Shuffle Packed Values at 128-bit Granularity
VSHUFPD		AVX512VL Shuffle Packed Double-Precision Floating-Point Values
VSHUFPS		AVX512VL Packed Interleave Shuffle of Quadruplets of Single-Precision Floating-Point Values
VSQRTPD		AVX512VL Square Root of Double-Precision Floating-Point Values
VSQRTPS		AVX512VL Square Root of Single-Precision Floating-Point Values
VSUBPD		AVX512VL Subtract Packed Double-Precision Floating-Point Values
VSUBPS		AVX512VL Subtract Packed Single-Precision Floating-Point Values
VUNPCKHPD		AVX512VL Unpack and Interleave High Packed Double-Precision Floating-Point Values
VUNPCKHPS		AVX512VL Unpack and Interleave High Packed Single-Precision Floating-Point Values
VUNPCKLPD		AVX512VL Unpack and Interleave Low Packed Double-Precision Floating-Point Values
VUNPCKLPS		AVX512VL Unpack and Interleave Low Packed Single-Precision Floating-Point Values
VXORPD		AVX512DQ AVX512VL Bitwise Logical XOR of Packed Double Precision Floating-Point Values
VXORPS		AVX512DQ AVX512VL Bitwise Logical XOR of Packed Single Precision Floating-Point Values

